iter	Passed	Remaining
0	1	137
1	2	124
2	3	123
3	4	111
4	5	108
5	7	111
6	8	108
7	9	107
8	10	108
9	11	105
10	12	104
11	14	102
12	15	101
13	16	100
14	17	98
15	18	98
16	19	96
17	21	96
18	22	95
19	23	94
20	24	92
21	25	91
22	27	90
23	28	90
24	29	89
25	31	88
26	32	88
27	33	87
28	35	86
29	36	86
30	38	85
31	39	84
32	40	83
33	42	81
34	43	81
35	45	80
36	46	79
37	48	78
38	49	77
39	50	76
40	52	75
41	52	72
42	54	71
43	55	70
44	57	70
45	58	69
46	60	68
47	62	67
48	64	66
49	65	65
50	67	64
51	68	63
52	70	62
53	71	61
54	72	59
55	74	58
56	76	57
57	77	56
58	79	55
59	81	54
60	82	52
61	84	51
62	85	50
63	87	49
64	89	47
65	90	46
66	92	45
67	93	44
68	95	42
69	96	41
70	98	40
71	99	38
72	101	37
73	103	36
74	104	34
75	106	33
76	107	32
77	109	30
78	111	29
79	113	28
80	114	26
81	116	25
82	118	24
83	120	22
84	121	21
85	123	20
86	125	18
87	127	17
88	129	16
89	131	14
90	133	13
91	135	11
92	136	10
93	138	8
94	140	7
95	142	5
96	144	4
97	146	2
98	148	1
99	150	0
