iter	Passed	Remaining
0	8	8522
1	15	7801
2	23	7674
3	29	7280
4	33	6765
5	39	6559
6	44	6314
7	49	6118
8	54	6050
9	59	5908
10	65	5851
11	70	5767
12	74	5691
13	81	5728
14	85	5640
15	90	5572
16	95	5536
17	100	5470
18	104	5415
19	110	5417
20	116	5424
21	121	5406
22	128	5445
23	132	5391
24	139	5450
25	144	5411
26	149	5373
27	153	5345
28	160	5358
29	165	5344
30	170	5338
31	175	5309
32	180	5291
33	186	5309
34	191	5290
35	196	5253
36	202	5258
37	207	5246
38	212	5225
39	223	5358
40	227	5323
41	232	5306
42	237	5291
43	241	5256
44	247	5242
45	251	5216
46	256	5195
47	260	5173
48	265	5156
49	270	5138
50	274	5113
51	279	5097
52	284	5078
53	288	5054
54	294	5056
55	299	5046
56	303	5026
57	309	5025
58	314	5015
59	319	5000
60	325	5009
61	330	4993
62	336	5005
63	342	5003
64	347	4996
65	356	5039
66	360	5020
67	365	5006
68	370	5001
69	375	4986
70	380	4979
71	386	4982
72	390	4964
73	396	4961
74	401	4950
75	405	4933
76	410	4922
77	415	4907
78	419	4889
79	424	4876
80	428	4859
81	432	4842
82	434	4801
83	439	4792
84	444	4779
85	448	4767
86	452	4753
87	457	4742
88	462	4730
89	466	4721
90	471	4714
91	476	4700
92	480	4686
93	485	4682
94	491	4682
95	496	4671
96	501	4666
97	506	4658
98	510	4644
99	515	4640
100	519	4626
101	524	4614
102	530	4619
103	535	4610
104	539	4598
105	544	4593
106	549	4587
107	553	4574
108	558	4565
109	563	4556
110	567	4545
111	571	4533
112	578	4544
113	583	4533
114	588	4526
115	593	4521
116	597	4506
117	602	4503
118	608	4503
119	613	4495
120	618	4490
121	622	4482
122	627	4471
123	632	4466
124	638	4468
125	642	4459
126	646	4445
127	652	4445
128	657	4437
129	661	4427
130	666	4423
131	671	4414
132	676	4407
133	681	4405
134	686	4399
135	691	4390
136	696	4389
137	701	4378
138	705	4370
139	710	4367
140	716	4363
141	719	4347
142	725	4349
143	731	4349
144	736	4343
145	743	4347
146	748	4342
147	753	4339
148	758	4334
149	763	4326
150	767	4318
151	773	4317
152	778	4308
153	783	4301
154	788	4299
155	793	4291
156	799	4293
157	804	4286
158	809	4279
159	814	4273
160	818	4263
161	822	4255
162	827	4247
163	833	4247
164	837	4240
165	842	4234
166	848	4229
167	852	4221
168	857	4216
169	863	4214
170	867	4207
171	872	4198
172	878	4201
173	883	4195
174	887	4186
175	894	4186
176	898	4179
177	903	4171
178	908	4168
179	913	4161
180	918	4154
181	923	4149
182	927	4141
183	932	4134
184	937	4127
185	941	4120
186	945	4112
187	950	4104
188	956	4103
189	960	4095
190	965	4089
191	970	4082
192	974	4073
193	979	4067
194	984	4065
195	989	4058
196	993	4049
197	998	4044
198	1002	4036
199	1007	4029
200	1012	4025
201	1017	4018
202	1021	4010
203	1026	4005
204	1031	3998
205	1035	3992
206	1041	3989
207	1046	3983
208	1050	3974
209	1054	3966
210	1059	3960
211	1063	3954
212	1069	3952
213	1074	3946
214	1078	3938
215	1083	3933
216	1088	3927
217	1092	3919
218	1097	3913
219	1102	3907
220	1107	3902
221	1111	3896
222	1117	3895
223	1123	3890
224	1127	3883
225	1132	3878
226	1137	3873
227	1142	3867
228	1147	3863
229	1152	3857
230	1156	3850
231	1162	3846
232	1167	3842
233	1172	3836
234	1177	3832
235	1181	3825
236	1186	3819
237	1191	3814
238	1195	3806
239	1199	3799
240	1205	3795
241	1209	3789
242	1214	3783
243	1219	3778
244	1224	3771
245	1228	3764
246	1233	3759
247	1238	3755
248	1243	3751
249	1250	3752
250	1255	3746
251	1260	3740
252	1266	3739
253	1271	3734
254	1276	3728
255	1281	3724
256	1286	3718
257	1290	3711
258	1295	3706
259	1300	3700
260	1304	3694
261	1309	3688
262	1314	3683
263	1318	3676
264	1323	3669
265	1335	3685
266	1339	3678
267	1344	3673
268	1349	3667
269	1354	3662
270	1359	3657
271	1364	3652
272	1369	3646
273	1373	3640
274	1378	3634
275	1383	3628
276	1388	3623
277	1393	3618
278	1399	3615
279	1403	3610
280	1408	3603
281	1412	3596
282	1418	3593
283	1422	3586
284	1427	3580
285	1432	3576
286	1440	3577
287	1459	3608
288	1466	3607
289	1471	3602
290	1479	3603
291	1483	3596
292	1488	3590
293	1495	3591
294	1499	3583
295	1503	3576
296	1512	3580
297	1523	3589
298	1528	3582
299	1534	3579
300	1541	3580
301	1546	3574
302	1551	3568
303	1556	3563
304	1561	3557
305	1566	3552
306	1570	3545
307	1577	3543
308	1585	3544
309	1589	3538
310	1594	3532
311	1599	3527
312	1604	3521
313	1609	3516
314	1614	3510
315	1619	3506
316	1626	3503
317	1630	3497
318	1636	3494
319	1646	3499
320	1652	3494
321	1659	3493
322	1663	3485
323	1668	3480
324	1674	3478
325	1681	3475
326	1687	3472
327	1691	3465
328	1695	3458
329	1700	3453
330	1705	3446
331	1709	3439
332	1713	3433
333	1718	3426
334	1722	3418
335	1726	3411
336	1731	3405
337	1735	3398
338	1739	3392
339	1744	3385
340	1748	3379
341	1753	3373
342	1757	3366
343	1762	3361
344	1766	3354
345	1771	3347
346	1775	3340
347	1779	3334
348	1783	3327
349	1787	3319
350	1791	3312
351	1795	3305
352	1800	3299
353	1804	3293
354	1809	3286
355	1813	3280
356	1821	3281
357	1827	3277
358	1832	3271
359	1838	3267
360	1842	3260
361	1846	3254
362	1851	3248
363	1856	3243
364	1861	3237
365	1866	3232
366	1870	3226
367	1875	3220
368	1880	3216
369	1885	3210
370	1890	3204
371	1895	3200
372	1900	3194
373	1905	3188
374	1910	3183
375	1915	3178
